source_frame,clip_frame,clip_time_s,player_pose_accepted,rig_available,rig_interpolated,left_knee_2d_deg,left_knee_rig3d_deg,ankle_direction_elevation_model_deg,delta_t_replay_s,ankle_delta_x_model_m,ankle_delta_y_model_m,ankle_delta_z_model_m,ball_sam_centroid_x_px,ball_sam_centroid_y_px
2643,221,7.374033,1,1,0,155.12122,120.716994,6.803465,0.1001,-0.006944,0.01771,-0.14828,582.126498,565.071704
2644,222,7.4074,1,1,0,154.895239,128.934621,11.730016,0.1001,0.02273,0.038334,-0.183216,593.583316,566.979679
2645,223,7.440767,1,1,0,157.512344,139.337534,17.82536,0.1001,0.035862,0.044016,-0.132103,607.69795,569.445307
2646,224,7.474133,1,1,0,159.346825,141.470961,11.271263,0.1001,0.056607,0.038999,-0.187314,618.843263,572.587087
2647,225,7.5075,1,1,0,162.098036,147.282934,8.474194,0.1001,0.075834,0.034248,-0.217001,633.221665,571.930673
2648,226,7.540867,1,1,0,163.770941,146.243183,11.202261,0.1001,0.107423,0.049462,-0.225466,650.622525,570.42015
2649,227,7.574233,1,1,0,158.523973,138.191612,24.716615,0.1001,0.133469,0.105367,-0.185971,664.004009,567.536611
2650,228,7.6076,1,1,0,151.303853,131.29865,34.329075,0.1001,0.158375,0.12939,-0.104004,680.806409,567.511414
2651,229,7.640967,1,1,0,133.782506,123.398075,49.107641,0.1001,0.154048,0.179219,0.018898,696.044974,563.756684
2652,230,7.674333,1,1,0,84.881891,118.349753,36.171153,0.1001,0.133658,0.117863,0.090133,712.314574,561.365698
2653,231,7.7077,1,1,0,10.850195,113.709315,35.34761,0.1001,0.129881,0.116046,0.099494,724.724413,559.089765
2654,232,7.741067,1,1,0,18.897177,90.517325,0.8962,0.1001,0.14833,0.002866,0.107576,739.399124,558.486747
2655,233,7.774433,1,1,0,22.442556,85.749025,-17.688043,0.1001,0.156358,-0.074141,0.172045,748.211201,558.008978
2656,234,7.8078,1,1,0,34.321295,89.870583,-30.386203,0.1001,0.097119,-0.173161,0.278881,756.649821,556.838775
2657,235,7.841167,1,1,0,51.554565,87.978006,-30.14303,0.1001,0.04417,-0.220219,0.37666,764.689127,556.34719
2658,236,7.874533,1,1,0,96.792438,88.494435,-22.681398,0.1001,-0.022227,-0.181157,0.432895,770.711048,553.027457
2659,237,7.9079,1,1,0,152.265639,87.039975,-16.750366,0.1001,-0.069664,-0.145372,0.477958,774.889494,550.622058
2660,238,7.941267,1,1,0,173.372321,94.433697,-9.372538,0.1001,-0.129285,-0.069154,0.398527,778.995981,547.641135
2661,239,7.974633,1,1,0,177.346519,99.4074,14.863945,0.1001,-0.177421,0.122637,0.426653,781.303752,545.801842
2662,240,8.008,1,1,0,167.908872,113.177365,27.784493,0.1001,-0.193566,0.21403,0.357127,784.853886,543.756864
2663,241,8.041367,1,1,0,164.248748,122.432226,37.809959,0.1001,-0.189066,0.280471,0.308061,763.145802,533.535445
2664,242,8.074733,1,1,0,163.186986,128.13568,33.949758,0.1001,-0.151535,0.136377,0.134432,694.653572,510.448564
2665,243,8.1081,1,1,0,166.256113,135.658564,32.889717,0.1001,-0.12478,0.08474,0.040018,636.618902,492.25258
2666,244,8.141467,1,1,0,174.554523,145.418848,8.769771,0.1001,-0.118213,0.018273,-0.007507,566.492774,468.742372
